Lokalisering	Avtalenavn	Elements	Tilstandsgrad	Startdato	Sluttdato	Utleier	Utleier kategori	Hjemmelshaver	Status	Poststed	Adresselinje 1	Lok: Distrikt	Lok: Område	Type lokasjon	Areal	Antall godkjente plasser	Målgruppe	Adresse og Postnummer	kommunenavn	Fylke	Matrikkel Gnr	Matrikkel Bnr	Matrikkel Knr	org nr utleier	Areal inkl fellesareal i leiekontrakt (kvm)	Eksklusivt areal i leiekontrakt (kvm)	Tillegsareal iht addendum (kvm)	Reduksjon iht addendum (kvm)	tomteareal	leieregulering	Forlengelse og vilkår	p-plasser	Kontraktsleie ved oppstart (per år)	Kontraktsleie økning/reduksjon	Felleskostnader per år (ved kontraktsinngåelse)	Brukeravhengige driftskostander - Første driftsår	Kostnad til indre vedlikehold per år	Indre vedlikehold pr/kvm	Kostnader: kommunale gebyrer og renovasjon	Kostnad kortleser	Parkeringsleie kr per år	Merverdikompensasjon per år	Vaktmestertjenester kr per år	Energi til leieobjektet kr per år	Oppvarming pr år	Renhold pr år	Kontantinnskudd kr	Betaling administrativt arbeid Statsbygg	kommentar
1101 - FHT, ESF, MST, Inntak, RK, Bodø	FHT, ESF, MST, inntak Bodø			01.04.2020	31.03.2030	Heian AS	2		Aktiv	Bodø	Nordstrandveien 41	01 - Nord	01 - Nordland	Kontor	974			Norstrandveien 41, 8012 Bodø	Bodø		138	2374	1804	984528701	974	839				100% av KPI på leie	JA, må vasle utleier om forlengelse min 6 mnd før utløp	inkl 6 p-plasser	1560000		255600														
1102 - Bodø behandlingsenter	Bodø Behandlingssenter			14.09.2008	31.12.2025	Stein Johannesen AS	2		Aktiv	Bodø	Rønvikvn 9A,C	01 - Nord	01 - Nordland	Formålsbygg	836	5	Omsorg	Rønvikveien 9A og 9C, 8009 Bodø	Bodø		138	783 og 411 (snr1 og 2)	1804	989999559	836					60% av KPI på leie	JA, må vasle utleier om forlengelse min 9 mnd før utløp	15 plasser	1596000																
1104 - Røvika Ungdomssenter	Røvika Ungdomssenter			01.01.2004	31.12.2028	Statsbygg	1		Aktiv	Fauske	Røvikveien 21	01 - Nord	01 - Nordland	Formålsbygg	3938	8	Akutt og omsorg	Røvika, 82 Fauske - Skilvassbakk	Fauske Og Hamarøy		44 og 77	8 og 6 (fnr 21)	1841 og 1875	971278374	4000			- 62 kvm fra 2023		80% av KPI på leie - 100% av KPI på indre vedlikehold	JA, må vasle utleier om forlengelse min 6 mnd før utløp	Leietaker betaler ikke for interne parkeringsplasser	40258422023			440000	2769892013	60											
1105 - FHT, kontorsted Sandnessjøen	FHT, kontorsted Sandnessjøen			15.12.2015	31.12.2025	Femur Eiendom AS	2		Aktiv	Sandnessjøen	Torolv Kveldulvsonsgt 39	01 - Nord	01 - Nordland	Kontor	335			Torolv Kveldulvsonsgt 39, 8800 Sandnessjøen	Alstahaug		37	199	1820	989301179	335	300				100% av KPI på leie	Ikke oppgitt	2 plasser	402000		96000						10800								
1106 - Sollia barne- og ungdomssenter	Sollia barne- og ungdomssenter + fosterhjemstjenesten			01.01.2010	01.01.2030	Statsbygg	1		Aktiv	Sortland	Idrettsvn 5	01 - Nord	01 - Nordland	Formålsbygg	1556	5	Omsorg	Idrettsveien 5, 8400 Sortland	Sortland		15	1896	1870	971278374	1556					80% av KPI på leie - 100% av KPI på indre vedlikehold	JA, må vasle utleier om forlengelse min 6 mnd før utløp		2150000			170000	108000	70											
1107 - Yttrabekken ungdomssenter	Yttrabekken ungdomssenter			01.01.2007	31.12.2026	Statsbygg	1		Aktiv	Mo I Rana	Brennstadmoen 23	01 - Nord	01 - Nordland	Formålsbygg	918	3	Behandling høy	Brennstadmoen 23 og Åkerhåjen 20, 8614 Mo i Rana	Rana		131	827 og 832	1833	971278374	984					100% av KPI på leie	JA, må vasle utleier om forlengelse min 9 mnd før utløp	inkl p-plasser	2840000			384000	146000	148											
1110 - FVK, Lofoten og Vesterålen	FVK, Lofoten og Vesterålen			01.06.2018	01.06.2026	Stilo AS	2		Aktiv	Stokmarknes	Markedsgt 20	01 - Nord	01 - Nordland	Familievernkontor	300			Markedsgata 20b, 8450 Stokmarknes	Hadsel		65	69	1866	912346552	300					100% av KPI på leie	JA, må vasle utleier om forlengelse min 6 mnd før utløp	Parkering i Ranværingsgata 1	304372		25000														
1112 - Bodø Familievernkontor	FVK Bodø			02.01.2023	31.03.2030	Storgata 27/29 Sentrum AS	2		Aktiv	Bodø	Storgata 27/29	01 - Nord	01 - Nordland	Familievernkontor	569			Storgata 27/29, 8006 Bodø	Bodø		138	2200	1804	922997551	568	476				100% av KPI på leie	JA, må vasle utleier om forlengelse min 6 mnd før utløp	ingen parkeringspaseer	889702		32688							162022							
1113 - Ole Tobias Olsens gate 19	Ole Tobias Olsens gate 19			01.08.2023	31.12.2030	Bane NOR Eiendom AS	2		Aktiv	Mo I Rana	Ole Tobias Olsens gate 19	01 - Nord	01 - Nordland	Kontor	154			Ole Tobias Olsens gate 19, 8622 Mo i Rana	Rana		20	268	1833	980374505	154	124				100% av KPI på leie			155000		48400														
1114 - Fiskergata 22	FVK, utekontor LOVE			02.10.2023	01.10.2029	Fiskergata 22 Svolvær AS	2		Aktiv	Svolvær	Fiskergata 22	01 - Nord	01 - Nordland	Familievernkontor	112			Fiskergata 22, 8300 Svolvær	Vågan		18	697	1865	920162894	112	92				100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp	inkl felles p-plasser	139464		47124							34894							
1115 - Storgata 31, 8370 Leknes	Storgata 31, 8370 Leknes			22.03.2022	22.03.2028	Lofoteiendom AS	2		Aktiv	Leknes	Storgata 31	01 - Nord	01 - Nordland	Familievernkontor	13			Storgata 31, 8370 Leiknes	Vestvågøy		18	200	1860	899271882	13					100% av KPI på leie	Fortsetter å løpe om ikke oppsigelse er innsendt	1 p-plass per leietaker	55200																* Om oppsigelse ikke er sendt av leietaker eller utleier fortsetter leieforhold å løpe etter 21.03.2025 m/6 mnd gjensidig oppsigelsestid.
1116 - FHT, kontorsted Sandnessjøen	FHT, kontorsted Sandnessjøen (OBS! aktiv fra 01.01.2026!)			01.01.2026	30.11.2033	Femur Eiendom AS	2		Aktiv	Sandnessjøen	Torolv Kveldulvsonsgt 39	01 - Nord	01 - Nordland	Kontor	0			Torolv Kveldulvsonsgt 39, 8800 Sandnessjøen	Alstahaug						se hovedkontrakt					se hovedkontrakt																			
1117 - Bodø ungdomssentersenter	Bodø ungdomssenter			02.09.2025	31.03.2055	Statsbygg	1		Aktiv	Bodø	Skoleveien 9	01 - Nord	01 - Nordland	Formålsbygg	1472	6	Omsorg	Skoleveien 9, 8009 Bodø	Bodø		31	137	1804	971278374	1472				3800	100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp	15 plasser	8051000			487000	167000	114											
1118 - FVK, kontorsted Narvik	FVK, kontorsted Narvik			01.08.2025	01.10.2035	Narvikgården utleiebygg AS	2		Aktiv	Narvik	Kongens gate 51-55	01 - Nord	01 - Nordland	Familievernkontor	358			Kongens gate 51-55, 8514 Narvik	Narvik		40	113	1806	992843012	358					100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp		639030		26850							712778							
1119 - FVK, Lofoten og Vesterålen	FVK, Lofoten og Vesterålen (Aktiv fra 01.05.2026)			01.05.2026	01.05.2036	Nordkraft eiendom AS	2		Aktiv	Stokmarknes	Nordnesveien 3	01 - Nord	01 - Nordland	Familievernkontor	0			Nordnesveien 3, 8450 Stokmarknes																															
