jeg gir deg alle dataene : Region	Tilhørighet2EnhetID	Tilhørighet2	TilhørighetEnhetID	Tilhørighet	EnhetID	Enhetsnavn	Enhetskorttype	Enhetstype (Utledet)	Antall G/K - plasser	Antall budsjetterte plasser	Hjemler	Nedlagt Dato	Eierskapenhet	Lokasjonskode	ePhorte Adm Id	Fylke	Kommune	Adresse	Postnummer	Poststed	Telefon	Nettside	EPost	Orgnr
Midt			614	Clausenengen ungdomshjem	1901	Kvalvågveien Boenhet	Avdeling	Barnevernsinstitusjon	4	4	/ § 4-2 Akutt, uten samtykke / § 3-2 Hjelpetiltak omsorg / § 5-1 Omsorgsovertakelse		Statlig			MØRE OG ROMSDAL	KRISTIANSUND	Kvalvågv. 113	6521	FREI				
Midt			664	Ranheim Vestre	1983	Ranheim Vestre, Langtid	Avdeling	Barnevernsinstitusjon	7	6	/ § 5-1 Omsorgsovertakelse / § 4-2 Akutt, uten samtykke		Statlig			TRØNDELAG	TRONDHEIM	Theodor Overwiensvei 16	7055	RANHEIM				984284861
Midt			862	Vikhovlia akuttsenter	1984	Vikhovlia Akuttavdeling	Avdeling	Barnevernsinstitusjon	6	6	/ § 4-2 Akutt, uten samtykke		Statlig			TRØNDELAG	MALVIK	Vihovlia 1400	7560	VIKHAMMER	46617560			974748886
Midt	47066	Trøndelag behandlingssenter for ungdom	529	Stjørdal ungdomssenter	2095	Stjørdal Ungdomssenter - Boenhet	Avdeling	Barnevernsinstitusjon	0	0			Statlig			TRØNDELAG	STJØRDAL	Kirkeveien 33	7501	STJØRDAL	46617570			
Øst			1207	Bakkehaugen barnevernsenter	2133	Lindern akuttinstitusjon	Avdeling	Institusjonsavdeling	6	0	/ § 3-2 Hjelpetiltak omsorg / § 4-1 Hjelpetiltak akutt / § 4-2 Akutt, uten samtykke / § 5-1 Omsorgsovertakelse		Kommunal			OSLO	OSLO	Stensgata 43	0451	OSLO	90583494			
Øst			1210	UNIPED Admin	2145	Uniped AS	Barnevernsinstitusjon	Barnevernsinstitusjon	0	0			Privat, kommersiell			ØSTFOLD	SARPSBORG	Glomveien 1 	1710	SARPSBORG				997398890
Vest			1322	Måløykollektivene	2379	Sjøly	Avdeling	Barnevernsinstitusjon	4	0	/ § 4-4 Akuttvedtak om plassering i atferdsinstitusjon / § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke / § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke		Privat, ideell			VESTLAND	KINN	Indre Kulen 59	6718	DEKNEPOLLEN	90918692			993080934
Øst			1324	Fossumkollektivet	2380	Solvold	Avdeling	Barnevernsinstitusjon	3	0	/ § 4-4 Akuttvedtak om plassering i atferdsinstitusjon / § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke / § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke		Privat, ideell			INNLANDET	STANGE	Jønsbergvegen 545	2335	STANGE	62578990			
Vest			1323	Stiftelsen Hiimsmoenkollektivet	2384	Gata 6	Avdeling	Barnevernsinstitusjon	3	0	/ § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke / § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke		Privat, ideell			ROGALAND	SULDAL	Gata 6 (12)	4230	SAND				
Øst			1324	Fossumkollektivet	2389	Rud	Avdeling	Barnevernsinstitusjon	6	0	/ § 4-4 Akuttvedtak om plassering i atferdsinstitusjon / § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke / § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke		Privat, ideell			ØSTFOLD	INDRE ØSTFOLD	Karjolkroken 186	1820	SPYDEBERG	69833170			993507040
