Lokalisering	Avtalenavn	Elements 	Tilstandsgrad	Startdato	Sluttdato	Utleier	Utleier kategori	Hjemmelshaver	Status	Poststed	Adresselinje 1	Lok: Distrikt	Lok: Område	Type lokasjon	Areal	Antall godkjente plasser	Målgruppe	Antall ansatte per kontor/familievernkontor	Adresse og Postnummer 	kommunenavn	Fylke	Matrikkel Gnr	Matrikkel Bnr	Matrikkel Knr	org nr utleier	Areal inkl fellesareal i leiekontrakt (kvm)	Eksklusivt areal i leiekontrakt (kvm) 	Tillegsareal iht addendum (kvm)	Reduksjon iht addendum (kvm)	tomteareal	leieregulering	forlengelse &vilkår	p-plasser	Kontraktsleie ved oppstart (per år)	kontraktsleie ønkning /reduksjon 	Oppstartsdato (KPI-grunnlag) - Gyldig kontrakt 	Kontaktsleie ved oppstart (gyldig kontrakt)	KPI-justert kontraktsleie til okt 2025	Indre vedlikehold	KPI-justert indre vedlikehold	Felleskostnader per år (ved kontraktsinngåelse) 	Brukeravhengige driftskostander - Første driftsår	Indre vedlikehold pr/kvm	Kostnander: kommunale gebyrer og renovasjon	Kost kortleser	Parkeringsleie kr per år	Merverdikompensasjon per år 	Vaktmestertjenester kr per år	Energi til leieobjektet kr per år	Oppvarming pr år	Renhold pr år	Kontantinnskudd kr	Betaling administrativt arbeid Statsbygg	kommentar 						
2330 - Familievern-kontoret i Namsos	Familievern-kontoret i Namsos	2005/7144 og 2016/52812		08.01.2007	31.07.2027	Forsikringsgården AS	2		Aktiv	NAMSOS	Abel Meyers gate 10	02 - Midt-Norge	03 - Trøndelag	Familievernkontor	424				Abel Meyers gate 10, 7800 Namsos	Namsos		65	1020	5007	981164156	424					100% av KPI på leie	JA, må vasle utleier om forlengelse min 15 mnd før utløp		462395		08.01.2007	462395	756299			112466																			
5939 - Alfheimvn 6, 1779 Halden	Østfold  ungdoms- og familiesenter, avdeling Alfheim	2023/80050		01.01.2004	01.01.2099	Halden kommune	2		Aktiv	HALDEN	Alfheimvn 6	05 - Øst	11 - Oslo og Viken	Formålsbygg	570	6	Omsorg		Alfheimvn 6, 1779 Halden 	Halden				3110		Mangler kontrakt								Mangler kontrakt 		01.01.2004		Kontrakt ikke funnet - LT legger inn regnskapstall 																						
6125 - Bufdir Tønsberg	Bufdir Tønsberg	2023/76425		14.10.2024	14.10.2034	Farmannsveien 50 AS	2		Aktiv	TØNSBERG	Anton Jensens gt. 5	06 - Bufdir	12 - Bufdir	Kontor	2320				Anton Jenssens gt. 5, 3125 Tønsberg	Tønsberg 		1012	85	3803	916932839	2320	2045				100% av KPI på leie  	JA, må vasle utleier om forlengelse min 18 mnd før utløp	Ikke inkl	4781520		14.10.2024	4781520	4964048			175740						679760							* Det tilkommer et administrasjonsgebyr på felleskostnader tilsvarende 5%.						
4807 - Regionkontoret region sør	Regionkontoret region sør og Familievernkontoret 2 etg og 4 etg	2019/51834-5 og 19		01.07.2020	30.06.2029	Anton Jenssens gt. 2 AS	2		Aktiv	TØNSBERG	Anton Jenssens gate 2	04 - Sør	08 - Vestfold og Telemark	Kontor	1096				Anton Jensens gate 2, 3125 Tønsberg  	Tønsberg 		1012	71	3901	915792472	1048	933				100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp	15 plasser*	1778624		01.07.2020	1778624	2198708			232000													* Se vilkår i kontrakt bilag 8						
4807 - Regionkontoret region sør	Vestfold Inntak, fosterhjem, familiehjem, bfs 3.etg	2019/51834-10 og 7		01.01.2020	31.12.2029	Anton Jenssens gt. 2 AS	2		Aktiv	TØNSBERG	Anton Jenssens gate 2	04 - Sør	08 - Vestfold og Telemark	Kontor	2530				Anton Jensens gate 2, 3125 Tønsberg	Tønsberg 		1012	71	3901	915792472	2443	2217				100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp	35 plasser* 	4030950		01.01.2020	4030950	4983001			1954400													* Se vilkår i kontrakt bilag 8						
5926 - Snytasvingen, 3519 Hønefoss	Ringerike omsorgssenter, avdeling Snyta	2023/80020		01.01.2020	30.11.2025	Jensen, Morten	2		Aktiv	HØNEFOSS	Askveien 132	05 - Øst	11 - Oslo og Viken	Formålsbygg	350				Snytasvingen, 3519 Hønefoss	Ringerike		42	37	3305	privat 	ikke oppgitt					100% av KPI på leie	Leieforholdet løpet på ubestemt tid 	Garasje med carport på eiendommen	292388		01.01.2020	292388	361445																						
5107 - Aumliveien 4C, 2500 Tynset	Familievernkontoret Innlandet Øst, avdeling Tynset	2023/80000		01.01.2021	31.12.2030	Siva FE Kompetansesenteret AS  - Siva FE Kompetansesenteret AS	2		Aktiv	TYNSET	Aumliveien 4C	05 - Øst	10 - Innlandet	Familievernkontor	203				Aumliveien 4C, 2500 Tynset	Tynset		44	551	3427	922082855	203	156				100% av KPI på leie	JA, må vasle utleier om forlengelse min 6 mnd før utløp	Ikke faste plasser, men fri tilgang til eiendommens p-plasser	221879		01.01.2021	221879	265069			103124																			
3501 - KASA Sandsli	F3 ungdom - Aurdalslia 96	2004/12010-14		01.01.2006	31.12.2025	Statsbygg	1		Aktiv	SANDSLI	Aurdalslia 96	03 - Vest	05 - Vestland	Formålsbygg	391	4	Omsorg		Aurdalslia 96, 5253 Sandsli	Bergen 		37	237	4601	971278374	391					80% av KPI på leie - 100% av KPI på indre vedlikehold 	JA, må vasle utleier om forlengelse min 6 mnd før utløp		420000		01.01.2006	420000	645484	13965	23336		44000	35											* hente ut forlengelse av leieavtalte.						
4715 - Tovdal	Tovdal	2024/50749-1		01.01.2004	31.12.2033	Statsbygg	1		Aktiv	DØLEMO	Austenå 370	04 - Sør	07 - Agder	Formålsbygg	136	0			Austenå 370, 4869 Dølemo	Åmli		7	21	4217	971278374	136				2500	100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp	Ikke aktuelt	119000		01.01.2024	119000	125229	10880	11449		57150	80																	
4902 - Kantum	Kantum	2019/51834-8		10.09.2009	30.05.2028	Eiker Eiendomsutvikling AS	2		Aktiv	HOKKSUND	Baneveien  19	04 - Sør	09 - Viken - Sørvest	Formålsbygg	236	3	Akutt		Baneveien 19, 33 Hokkund	Øvre Eiker 		77	1077	3311	965690328	236				se "mangler"	100% av KPI på leie	JA, rett til forlengelse på 12 mnd 	Leieobjektet inkluderer parkeringsplasser, herunder en garasje og en carport. Se "mangler"	360000 fra nov.2020		10.09.2020	360000	445026						13000 (fra 2021)																
