;;;;;;;;
Periodekalender;2025;;;;;;;
Kapittel Beskrivelse;All;;;;;;;
Kontonummer;(Flere elementer);;;;;;;
Konto Beskrivelse;Annen kostnad lokaler;;;;;;;
;;;;;;;;
Radetiketter;Kontantbeløp;;;;;;;
Leie av lokaler og tilknyttede utgifter;;;;;;;;
Bufetat;;;;;;;;
Region Sør;;;;;;;;
Agder ungdomshjem;  2 850 830;;;;;;;
Klokkerhuset ungdomssenter akutt;   248 309;;;;;;;
Agder ungdomssenter;   84 837;;;;;;;
Fosterhjemstjenesten, Bufetat region sør;   81 853;;;;;;;
Enhet for inntak, Bufetat region sør;   54 559;;;;;;;
MST region sør;   44 634;;;;;;;
St. Hansgården ungdomssenter akutt;   39 367;;;;;;;
Agder barne- og familiesenter;   38 453;;;;;;;
Spesialiserte fosterhjem;   33 671;;;;;;;
Barkåker ungdomssenter;   32 709;;;;;;;
Telemark barne- og familiesenter;   29 690;;;;;;;
Lunde behandlingssenter;   20 864;;;;;;;
Vestfold barne- og familiesenter;   18 168;;;;;;;
Katfoss behandling ungdom;   11 803;;;;;;;
Regionkontor;   10 355;;;;;;;
Thorøya ungdomshjem;   7 144;;;;;;;
Grøterød ungdomshjem;   4 028;;;;;;;
Stokke Barnesenter;   1 559;;;;;;;
Telemark og Vestfold ungdomshjem;   1 409;;;;;;;
Lågen ungdomshjem;   1 120;;;;;;;
Sundstedtråkka ungdomssenter akutt;    647;;;;;;;
Vestfold ungdomssenter;    16;;;;;;;
Teknisk;    ;;;;;;;
Region Midt-Norge;;;;;;;;
Regionale felleskostnader;   869 187;;;;;;;
Kvammen akuttinstitusjon;   441 822;;;;;;;
Familievernkontoret Levanger;   149 862;;;;;;;
Viktoria Familiesenter;   144 648;;;;;;;
Kollen ungdomsbase;   133 190;;;;;;;
Trøndelag behandlingssenter for ungdom;   108 976;;;;;;;
Vikhovlia akuttsenter;   108 474;;;;;;;
Senter for foreldre og barn Molde;   65 307;;;;;;;
Humla Akuttsenter;   62 201;;;;;;;
Gilantunet ungdomshjem;   51 323;;;;;;;
Regionkontor;   50 475;;;;;;;
Husafjellheimen ungdomsheim;   32 993;;;;;;;
Familievernkontoret Molde;   24 919;;;;;;;
Sunnmørsheimen akuttsenter;   21 571;;;;;;;
Sunnmørsheimen ungdomsheim;   21 406;;;;;;;
MST Trøndelag Nord;   17 290;;;;;;;
Ranheim Vestre;   10 107;;;;;;;
Clausenengen ungdomshjem;   9 599;;;;;;;
Fosterhjemstjenesten, Bufetat region midt;   4 313;;;;;;;
Karienborg ungdomsheim;   3 133;;;;;;;
MST Sunnmøre;   2 975;;;;;;;
Enhet for inntak, Bufetat region midt;   2 119;;;;;;;
Familievernkontoret Namsos;    666;;;;;;;
Region Øst;;;;;;;;
Regionkontor;   609 517;;;;;;;
Akershus ungdoms- og familiesenter;   222 289;;;;;;;
Bufetats behandlingssenter Akershus_Østfold;   171 648;;;;;;;
Hedmark ungdoms- og familiesenter - akutt;   101 849;;;;;;;
Familievernkontoret  Enerhaugen;   75 227;;;;;;;
Østfold ungdoms - og familiesenter - omsorg;   42 938;;;;;;;
Fosterhjemstjenesten, Bufetat region øst;   20 343;;;;;;;
Kirkenær barnevern- og omsorgssenter;   17 609;;;;;;;
Familievernkontoret Nedre Romerike;   12 887;;;;;;;
Familievernkontoret Østfold;   12 679;;;;;;;
Seljelia barne- og  familiesenter;   9 171;;;;;;;
Borg barne- og  familiesenter;   7 269;;;;;;;
Gullhella barne- og  familiesenter;   3 830;;;;;;;
Enhet for spesialiserte fosterhjem - region Øst;   3 571;;;;;;;
Jong ungdoms- og familiesenter;   2 645;;;;;;;
Familievernkontoret  Homansbyen;   2 350;;;;;;;
Akershus ungdoms- og familiesenter - akutt;   1 538;;;;;;;
Ringerike omsorgssenter;   1 211;;;;;;;
Familievernkontoret Innlandet Øst;    888;;;;;;;
Region Nord;;;;;;;;
Nye Kvæfjord ungdomssenter;   218 495;;;;;;;
Nasjonalt samisk kompetansesenter;   97 103;;;;;;;
Harstad / Narvik FV;   87 061;;;;;;;
Tromsø ungdomssenter;   41 282;;;;;;;
Stab;   38 457;;;;;;;
Yttrabekken Ungdomshjem;   28 609;;;;;;;
Silsand ungdomssenter;   25 997;;;;;;;
Solbakken Barne- og familiesenter;   22 269;;;;;;;
Enhet for inntak, Bufetat region nord;   19 345;;;;;;;
Bodø behandlingssenter;   18 802;;;;;;;
Røvika Ungdomssenter;   18 612;;;;;;;
Avdelingsdirektør inntak og fosterhjemsrekruttering;   15 507;;;;;;;
Indre Finnmark Familievernkontor;   12 067;;;;;;;
Alta Ungdomssenter;   11 194;;;;;;;
FHT region nord;   6 123;;;;;;;
Avdelingsdirektør omsorg for ungdom og behandling av ungdom;   6 059;;;;;;;
Enhet for spesialiserte fosterhjem;   5 722;;;;;;;
Finnsnes Familievernkontor;   5 237;;;;;;;
Alta / Hammerfest FV;   5 128;;;;;;;
Tromsø Familievernkontor;   3 345;;;;;;;
MST Mo i Rana;   1 531;;;;;;;
Sollia barne- og ungdomssenter;   1 416;;;;;;;
Vesterålen Familievernkontor;    592;;;;;;;
MST Bodø;    18;;;;;;;
Region Vest;;;;;;;;
Stavanger ungdomssenter;   99 074;;;;;;;
Eikelund Ungdomssenter;   87 721;;;;;;;
Region vest senter for foreldre og barn;   83 246;;;;;;;
Bergen Akuttsenter Ungdom;   64 455;;;;;;;
Bjørgvin Ungdomssenter;   48 364;;;;;;;
Kasa Ungdomssenter;   45 530;;;;;;;
Familievernkontoret for Bergen og omland;   28 524;;;;;;;
Stavanger Akuttsenter Ungdom;   14 364;;;;;;;
Sandnes Ungdomssenter;   12 917;;;;;;;
Kontorfaglig enhet;   9 444;;;;;;;
Sogn og fjordane Ungdomssenter behandling høy;   6 064;;;;;;;
Skjoldvegen barnevernsenter;   1 926;;;;;;;
Bufdir;;;;;;;;
;   271 036;;;;;;;
Totalsum;  8 734 671;;;;;;;
