;;;;;;;;
;;;;;;;;
Periodekalender;2025;;;;;;;
Kapittel Beskrivelse;All;;;;;;;
Kontonummer;(Flere elementer);;;;;;;
;;;;;;;;
Kontantbeløp;Kolonneetiketter;;;;;;;
;Bufetat;;;;;Bufdir;Totalsum;
Radetiketter;Region Midt-Norge;Region Nord;Region Sør;Region Vest;Region Øst;;;
Leie av lokaler og tilknyttede utgifter;;;;;;;;
Leie lokaler andre utleiere;;;;;;;;
;;;;;;  28 488 729;  28 488 729;
Agder barne- og familiesenter;;;  1 915 964;;;;  1 915 964;
Agder ungdomshjem;;;   96 847;;;;   96 847;
Agder ungdomssenter;;;  1 302 547;;;;  1 302 547;
Alta / Hammerfest FV;;   834 305;;;;;   834 305;
Avdelingsdirektør inntak og fosterhjemsrekruttering;;  1 056 136;;;;;  1 056 136;
Barkåker ungdomssenter;;;   698 661;;;;   698 661;
Bergen Akuttsenter Ungdom;;;;   3 576;;;   3 576;
Bodø behandlingssenter;;  2 199 540;;;;;  2 199 540;
Bodø Familievernkontor;;  1 129 599;;;;;  1 129 599;
Buskerud barne- og familiesenter;;;   916 018;;;;   916 018;
Enhet for inntak, Bufetat region midt;   623 223;;;;;;   623 223;
Enhet for inntak, Bufetat region nord;;  1 934 647;;;;;  1 934 647;
Enhet for inntak, Bufetat region sør;;;  3 193 091;;;;  3 193 091;
Enhet for spesialiserte fosterhjem;;   792 309;;;;;   792 309;
Familiehjem i region vest;;;;   48 266;;;   48 266;
Familiekontora for Sunnfjord og Sogn;;;;  1 351 620;;;  1 351 620;
Familievernkontorene Drammen-Kongsberg;;;  1 928 784;;;;  1 928 784;
Familievernkontoret for Bergen og omland;;;;  4 492 189;;;  4 492 189;
Familievernkontoret i Vestfold;;;  1 302 335;;;;  1 302 335;
Familievernkontoret Kristiansund;   765 870;;;;;;   765 870;
Familievernkontoret Levanger;  1 688 866;;;;;;  1 688 866;
Familievernkontoret Molde;  1 050 768;;;;;;  1 050 768;
Familievernkontoret Namsos;   571 864;;;;;;   571 864;
Familievernkontoret Ålesund;  1 613 176;;;;;;  1 613 176;
FHT region nord;;  2 870 693;;;;;  2 870 693;
Finnsnes Familievernkontor;;   488 350;;;;;   488 350;
Fosterhjemstjenesten i Region vest;;;;   3 576;;;   3 576;
Fosterhjemstjenesten, Bufetat region midt;  2 078 005;;;;;;  2 078 005;
Fosterhjemstjenesten, Bufetat region sør;;;  4 326 954;;;;  4 326 954;
Gilantunet ungdomshjem;  1 786 777;;;;;;  1 786 777;
Harstad / Narvik FV;;   981 131;;;;;   981 131;
Humla Akuttsenter;  2 328 140;;;;;;  2 328 140;
Indre Finnmark Familievernkontor;;   295 577;;;;;   295 577;
Innlandet barnevernsenter;;;;;   27 388;;   27 388;
Justøya behandling ungdom;;;    ;;;;    ;
Karienborg ungdomsheim;   455 928;;;;;;   455 928;
Kasa Ungdomssenter;;;;   558 236;;;   558 236;
Katfoss behandling ungdom;;;   937 964;;;;   937 964;
Kirkenær barnevern- og omsorgssenter;;;;;   122 953;;   122 953;
Klokkerhuset ungdomssenter akutt;;;  2 101 283;;;;  2 101 283;
Kollen ungdomsbase;   209 667;;;;;;   209 667;
Kontorfaglig enhet;;;;  19 268 368;;;  19 268 368;
Kvammen akuttinstitusjon;  1 230 924;;;;;;  1 230 924;
MST Bodø;;   359 249;;;;;   359 249;
MST Mo i Rana;;   202 010;;;;;   202 010;
MST region sør;;;  2 473 676;;;;  2 473 676;
MST Sunnmøre;   307 327;;;;;;   307 327;
MST Tromsø;;   586 742;;;;;   586 742;
MST Trøndelag Nord;   455 928;;;;;;   455 928;
Nasjonal enhet for behandlingstiltak;   403 252;;;;;;   403 252;
Nasjonalt samisk kompetansesenter;;   290 518;;;;;   290 518;
Nye Kvæfjord ungdomssenter;;   900 260;;;;;   900 260;
Ranheim Vestre;  2 281 668;;;;;;  2 281 668;
Region vest senter for foreldre og barn;;;;  1 516 852;;;  1 516 852;
Regionale utgifter (regionkontor,fellestjenester);;;;   553 653;;;   553 653;
Regionkontor;  9 194 282;;  2 338 618;;  64 323 977;;  75 856 877;
Ringerike omsorgssenter;;;;;   7 680;;   7 680;
Røvika Ungdomssenter;;   761 414;;;;;   761 414;
Sandnes Ungdomssenter;;;;   2 400;;;   2 400;
Senter for foreldre og barn Molde;  1 262 676;;;;;;  1 262 676;
Silsand ungdomssenter;;  1 900 000;;;;;  1 900 000;
Sogn og Fjordane ungdomsenter;;;;   127 827;;;   127 827;
Sogndal Ungdomssenter;;;;   1 900;;;   1 900;
Spesialiserte fosterhjem;;;   924 584;;;;   924 584;
Stab;;  4 386 097;;;;;  4 386 097;
Sundstedtråkka ungdomssenter akutt;;;  2 007 735;;;;  2 007 735;
Sunnmørsheimen akuttsenter;  1 183 759;;;;;;  1 183 759;
Sunnmørsheimen ungdomsheim;  1 536 634;;;;;;  1 536 634;
Teknisk;;;    ;;;;    ;
Telemark og Vestfold ungdomshjem;;;   203 114;;;;   203 114;
Thorøya ungdomshjem;;;  2 870 936;;;;  2 870 936;
Tromsø Familievernkontor;;  1 789 588;;;;;  1 789 588;
Trøndelag behandlingssenter for ungdom;  3 030 524;;;;;;  3 030 524;
Vesterålen Familievernkontor;;   559 376;;;;;   559 376;
Vestfold barne- og familiesenter;;;  1 180 412;;;;  1 180 412;
Vestfold ungdomssenter;;;   193 047;;;;   193 047;
Vikhovlia akuttsenter;  2 619 216;;;;;;  2 619 216;
Viktoria Familiesenter;   403 252;;;;;;   403 252;
Leie lokaler fra Statsbygg;;;;;;;;
Agder ungdomshjem;;;  1 562 400;;;;  1 562 400;
Agder ungdomssenter;;;  2 400 988;;;;  2 400 988;
Alta Ungdomssenter;;  3 742 588;;;;;  3 742 588;
Barkåker ungdomssenter;;;  4 365 195;;;;  4 365 195;
Bergen Akuttsenter Ungdom;;;;  5 465 118;;;  5 465 118;
Bjørgvin Ungdomssenter;;;;  2 032 716;;;  2 032 716;
Bodø behandlingssenter;;  2 683 667;;;;;  2 683 667;
Clausenengen ungdomshjem;   777 388;;;;;;   777 388;
Eikelund Ungdomssenter;;;;   359 689;;;   359 689;
Enhet for spesialiserte fosterhjem;;   174 870;;;;;   174 870;
FHT region nord;;   468 122;;;;;   468 122;
Grøterød ungdomshjem;;;  6 213 320;;;;  6 213 320;
Husafjellheimen ungdomsheim;  3 491 864;;;;;;  3 491 864;
Innlandet barnevernsenter;;;;;    ;;    ;
Karienborg ungdomsheim;  1 272 188;;;;;;  1 272 188;
Kasa Ungdomssenter;;;;  2 015 788;;;  2 015 788;
Klokkerhuset ungdomssenter akutt;;;   426 576;;;;   426 576;
Kollen ungdomsbase;  1 491 121;;;;;;  1 491 121;
Kvammen akuttinstitusjon;  3 601 980;;;;;;  3 601 980;
Lunde behandlingssenter;;;  2 021 632;;;;  2 021 632;
Lågen ungdomshjem;;;  6 739 288;;;;  6 739 288;
Nasjonalt samisk kompetansesenter;;   92 609;;;;;   92 609;
Nye Kvæfjord ungdomssenter;;  5 124 320;;;;;  5 124 320;
Nye Lamo ungdomssenter;;  4 208 147;;;;;  4 208 147;
Region vest senter for foreldre og barn;;;;  1 969 204;;;  1 969 204;
Regionale utgifter (regionkontor,fellestjenester);;;;  2 297 454;;;  2 297 454;
Regionkontor;;;;;  28 445 185;;  28 445 185;
Røvika Ungdomssenter;;  4 933 465;;;;;  4 933 465;
Sandnes Ungdomssenter;;;;  2 457 260;;;  2 457 260;
Senter for foreldre og barn Molde;   709 672;;;;;;   709 672;
Skjerven rusbehandling ungdom;;;  1 834 652;;;;  1 834 652;
Skjoldvegen barnevernsenter;;;;  2 069 492;;;  2 069 492;
Sogn og Fjordane ungdomsenter;;;;  1 201 575;;;  1 201 575;
Sogn og fjordane Ungdomssenter behandling høy;;;;   852 849;;;   852 849;
Sogndal Ungdomssenter;;;;   521 996;;;   521 996;
Solbakken Barne- og familiesenter;;  4 026 461;;;;;  4 026 461;
Sollia barne- og ungdomssenter;;  2 606 678;;;;;  2 606 678;
Spillumheimen undomsheim;   577 264;;;;;;   577 264;
St. Hansgården ungdomssenter akutt;;;   426 060;;;;   426 060;
Stab;;   38 560;;;;;   38 560;
Stavanger Akuttsenter Ungdom;;;;  2 449 168;;;  2 449 168;
Stavanger ungdomssenter;;;;   747 168;;;   747 168;
Stokke Barnesenter;;;   544 512;;;;   544 512;
Telemark barne- og familiesenter;;;  2 484 267;;;;  2 484 267;
Telemark og Vestfold ungdomshjem;;;   930 380;;;;   930 380;
Tromsø ungdomssenter;;  4 003 982;;;;;  4 003 982;
Trøndelag behandlingssenter for ungdom;  2 945 095;;;;;;  2 945 095;
Viktoria Familiesenter;  1 742 178;;;;;;  1 742 178;
Yttrabekken Ungdomshjem;;  2 906 800;;;;;  2 906 800;
Fellesutgifter (BAD) Statsbygg;;;;;;;;
Agder ungdomshjem;;;   781 475;;;;   781 475;
Agder ungdomssenter;;;  1 863 192;;;;  1 863 192;
Alta Ungdomssenter;;   872 355;;;;;   872 355;
Barkåker ungdomssenter;;;  1 297 044;;;;  1 297 044;
Bergen Akuttsenter Ungdom;;;;   965 316;;;   965 316;
Bjørgvin Ungdomssenter;;;;   759 015;;;   759 015;
Bodø behandlingssenter;;   162 333;;;;;   162 333;
Buskerud barne- og familiesenter;;;   544 975;;;;   544 975;
Clausenengen ungdomshjem;   522 896;;;;;;   522 896;
Eikelund Ungdomssenter;;;;   236 869;;;   236 869;
Enhet for spesialiserte fosterhjem;;   92 762;;;;;   92 762;
FHT region nord;;   130 518;;;;;   130 518;
Grøterød ungdomshjem;;;  1 354 277;;;;  1 354 277;
Husafjellheimen ungdomsheim;   464 294;;;;;;   464 294;
Karienborg ungdomsheim;   348 888;;;;;;   348 888;
Kasa Ungdomssenter;;;;   461 133;;;   461 133;
Klokkerhuset ungdomssenter akutt;;;   122 430;;;;   122 430;
Kollen ungdomsbase;   782 865;;;;;;   782 865;
Kvammen akuttinstitusjon;   589 685;;;;;;   589 685;
Lunde behandlingssenter;;;   523 181;;;;   523 181;
Lågen ungdomshjem;;;   929 788;;;;   929 788;
Nasjonalt samisk kompetansesenter;;   7 102;;;;;   7 102;
Nye Kvæfjord ungdomssenter;;  1 315 816;;;;;  1 315 816;
Nye Lamo ungdomssenter;;   395 921;;;;;   395 921;
Region vest senter for foreldre og barn;;;;  1 103 494;;;  1 103 494;
Regionale utgifter (regionkontor,fellestjenester);;;;   506 937;;;   506 937;
Regionkontor;;;;;  8 612 775;;  8 612 775;
Røvika Ungdomssenter;;  1 025 100;;;;;  1 025 100;
Sandnes Ungdomssenter;;;;  1 211 812;;;  1 211 812;
Senter for foreldre og barn Molde;   417 893;;;;;;   417 893;
Skjerven rusbehandling ungdom;;;   958 567;;;;   958 567;
Skjoldvegen barnevernsenter;;;;   480 259;;;   480 259;
Sogn og Fjordane ungdomsenter;;;;   262 519;;;   262 519;
Sogn og fjordane Ungdomssenter behandling høy;;;;   510 271;;;   510 271;
Sogndal Ungdomssenter;;;;   396 442;;;   396 442;
Solbakken Barne- og familiesenter;;   308 832;;;;;   308 832;
Sollia barne- og ungdomssenter;;   335 606;;;;;   335 606;
Spillumheimen undomsheim;   147 322;;;;;;   147 322;
St. Hansgården ungdomssenter akutt;;;   513 366;;;;   513 366;
Stab;;   40 089;;;;;   40 089;
Stavanger Akuttsenter Ungdom;;;;  1 657 662;;;  1 657 662;
Stavanger ungdomssenter;;;;   656 119;;;   656 119;
Stokke Barnesenter;;;   522 101;;;;   522 101;
Telemark barne- og familiesenter;;;   295 060;;;;   295 060;
Telemark og Vestfold ungdomshjem;;;  1 610 559;;;;  1 610 559;
Tromsø ungdomssenter;;   668 082;;;;;   668 082;
Trøndelag behandlingssenter for ungdom;   505 482;;;;;;   505 482;
Viktoria Familiesenter;   549 240;;;;;;   549 240;
Yttrabekken Ungdomshjem;;   702 490;;;;;   702 490;
Fellesutgifter andre utleiere;;;;;;;;
;;;;;;  1 320 598;  1 320 598;
Agder barne- og familiesenter;;;   421 288;;;;   421 288;
Agder ungdomshjem;;;   21 478;;;;   21 478;
Agder ungdomssenter;;;   14 429;;;;   14 429;
Alta / Hammerfest FV;;   128 799;;;;;   128 799;
Avdelingsdirektør inntak og fosterhjemsrekruttering;;   171 266;;;;;   171 266;
Barkåker ungdomssenter;;;   15 389;;;;   15 389;
Bodø Familievernkontor;;   143 282;;;;;   143 282;
Enhet for inntak, Bufetat region midt;   153 324;;;;;;   153 324;
Enhet for inntak, Bufetat region nord;;   292 827;;;;;   292 827;
Enhet for inntak, Bufetat region sør;;;   510 055;;;;   510 055;
Enhet for spesialiserte fosterhjem;;   76 782;;;;;   76 782;
Familiehjem i region vest;;;;   13 560;;;   13 560;
Familiekontora for Sunnfjord og Sogn;;;;   175 654;;;   175 654;
Familievernkontorene Drammen-Kongsberg;;;   87 285;;;;   87 285;
Familievernkontoret for Bergen og omland;;;;   208 066;;;   208 066;
Familievernkontoret i Vestfold;;;   249 201;;;;   249 201;
Familievernkontoret Kristiansund;   42 100;;;;;;   42 100;
Familievernkontoret Levanger;   310 823;;;;;;   310 823;
Familievernkontoret Molde;   317 329;;;;;;   317 329;
Familievernkontoret Namsos;   117 155;;;;;;   117 155;
Familievernkontoret Oslo Nord;;;;;   4 334;;   4 334;
Familievernkontoret Ålesund;   356 518;;;;;;   356 518;
FHT region nord;;   382 595;;;;;   382 595;
Finnsnes Familievernkontor;;   45 861;;;;;   45 861;
Fosterhjemstjenesten, Bufetat region midt;   730 146;;;;;;   730 146;
Fosterhjemstjenesten, Bufetat region sør;;;   686 079;;;;   686 079;
Harstad / Narvik FV;;   188 613;;;;;   188 613;
Indre Finnmark Familievernkontor;;   32 341;;;;;   32 341;
Karienborg ungdomsheim;   123 186;;;;;;   123 186;
Kasa Ungdomssenter;;;;   89 467;;;   89 467;
Katfoss behandling ungdom;;;   120 208;;;;   120 208;
Klokkerhuset ungdomssenter akutt;;;   242 950;;;;   242 950;
Kontorfaglig enhet;;;;  3 893 307;;;  3 893 307;
Kvammen akuttinstitusjon;    836;;;;;;    836;
MST Bodø;;   29 490;;;;;   29 490;
MST Mo i Rana;;   58 500;;;;;   58 500;
MST region sør;;;   386 517;;;;   386 517;
MST Sunnmøre;   8 924;;;;;;   8 924;
MST Tromsø;;   99 193;;;;;   99 193;
MST Trøndelag Nord;   123 186;;;;;;   123 186;
Nasjonal enhet for behandlingstiltak;   113 326;;;;;;   113 326;
Nasjonalt samisk kompetansesenter;;   32 341;;;;;   32 341;
Nye Kvæfjord ungdomssenter;;   135 740;;;;;   135 740;
Ranheim Vestre;   123 808;;;;;;   123 808;
Region vest senter for foreldre og barn;;;;   38 011;;;   38 011;
Regionale utgifter (regionkontor,fellestjenester);;;;   33 795;;;   33 795;
Regionkontor;  2 535 187;;   550 829;;  9 395 399;;  12 481 415;
Røvika Ungdomssenter;;   114 874;;;;;   114 874;
Senter for foreldre og barn Molde;   275 537;;;;;;   275 537;
Skjerven rusbehandling ungdom;;;   60 681;;;;   60 681;
Spesialiserte fosterhjem;;;   143 213;;;;   143 213;
Stab;;   764 326;;;;;   764 326;
Sunnmørsheimen akuttsenter;   48 377;;;;;;   48 377;
Sunnmørsheimen ungdomsheim;   44 618;;;;;;   44 618;
Teknisk;;;    ;;;;    ;
Telemark og Vestfold ungdomshjem;;;   28 726;;;;   28 726;
Thorøya ungdomshjem;;;   536 430;;;;   536 430;
Tromsø Familievernkontor;;   301 418;;;;;   301 418;
Trøndelag behandlingssenter for ungdom;   17 180;;;;;;   17 180;
Vesterålen Familievernkontor;;   80 844;;;;;   80 844;
Vestfold barne- og familiesenter;;;   234 745;;;;   234 745;
Vestfold ungdomssenter;;;   50 034;;;;   50 034;
Vikhovlia akuttsenter;   321 230;;;;;;   321 230;
Viktoria Familiesenter;   113 326;;;;;;   113 326;
Strøm og oppvarming;;;;;;;;
;;;;;;   700 368;   700 368;
Agder barne- og familiesenter;;;   178 848;;;;   178 848;
Agder ungdomshjem;;;   449 578;;;;   449 578;
Agder ungdomssenter;;;   374 219;;;;   374 219;
Akershus ungdoms- og familiesenter;;;;;   10 039;;   10 039;
Alta / Hammerfest FV;;   65 398;;;;;   65 398;
Alta Ungdomssenter;;   115 280;;;;;   115 280;
Avdelingsdirektør inntak og fosterhjemsrekruttering;;   18 960;;;;;   18 960;
Barkåker ungdomssenter;;;   376 978;;;;   376 978;
Bergen Akuttsenter Ungdom;;;;   425 266;;;   425 266;
Bjørgvin Ungdomssenter;;;;   352 766;;;   352 766;
Bodø behandlingssenter;;   191 850;;;;;   191 850;
Bodø Familievernkontor;;   62 234;;;;;   62 234;
Buskerud barne- og familiesenter;;;   459 732;;;;   459 732;
Clausenengen ungdomshjem;   97 933;;;;;;   97 933;
Enhet for inntak, Bufetat region midt;   27 119;;;;;;   27 119;
Enhet for inntak, Bufetat region nord;;   171 135;;;;;   171 135;
Enhet for inntak, Bufetat region sør;;;   183 402;;;;   183 402;
Enhet for spesialiserte fosterhjem;;   108 148;;;;;   108 148;
Enhet for spesialiserte fosterhjem - region Øst;;;;;    38;;    38;
Familiekontora for Sunnfjord og Sogn;;;;   124 280;;;   124 280;
Familievernkontorene Drammen-Kongsberg;;;   359 500;;;;   359 500;
Familievernkontoret for Bergen og omland;;;;   449 201;;;   449 201;
Familievernkontoret Kristiansund;   94 728;;;;;;   94 728;
Familievernkontoret Molde;   15 084;;;;;;   15 084;
Familievernkontoret Namsos;   74 270;;;;;;   74 270;
Familievernkontoret Ålesund;   50 512;;;;;;   50 512;
FHT region nord;;   314 777;;;;;   314 777;
Finnsnes Familievernkontor;;   57 057;;;;;   57 057;
Fosterhjemstjenesten, Bufetat region midt;   71 115;;;;;;   71 115;
Fosterhjemstjenesten, Bufetat region sør;;;   377 658;;;;   377 658;
Gilantunet ungdomshjem;   137 139;;;;;;   137 139;
Grøterød ungdomshjem;;;   171 449;;;;   171 449;
Gullhella barne- og  familiesenter;;;;;   7 790;;   7 790;
Harstad / Narvik FV;;   24 271;;;;;   24 271;
Hedmark ungdoms- og familiesenter - akutt;;;;;   113 702;;   113 702;
Humla Akuttsenter;   110 333;;;;;;   110 333;
Husafjellheimen ungdomsheim;   121 049;;;;;;   121 049;
Justøya behandling ungdom;;;   14 933;;;;   14 933;
Karienborg ungdomsheim;   140 897;;;;;;   140 897;
Kasa Ungdomssenter;;;;   411 872;;;   411 872;
Katfoss behandling ungdom;;;   156 292;;;;   156 292;
Klokkerhuset ungdomssenter akutt;;;   208 255;;;;   208 255;
Kollen ungdomsbase;   176 475;;;;;;   176 475;
Kontorfaglig enhet;;;;  1 284 486;;;  1 284 486;
Kvammen akuttinstitusjon;   397 544;;;;;;   397 544;
Lunde behandlingssenter;;;   246 221;;;;   246 221;
Lågen ungdomshjem;;;   189 914;;;;   189 914;
MST Bodø;;   19 368;;;;;   19 368;
MST Mo i Rana;;   65 250;;;;;   65 250;
MST region sør;;;   186 481;;;;   186 481;
MST Sunnmøre;   8 355;;;;;;   8 355;
MST Tromsø;;   12 726;;;;;   12 726;
Nasjonalt samisk kompetansesenter;;   5 090;;;;;   5 090;
Nye Kvæfjord ungdomssenter;;   301 468;;;;;   301 468;
Nye Lamo ungdomssenter;;   184 595;;;;;   184 595;
Ranheim Vestre;   190 482;;;;;;   190 482;
Region vest senter for foreldre og barn;;;;   262 459;;;   262 459;
Regionale utgifter (regionkontor,fellestjenester);;;;   66 418;;;   66 418;
Regionkontor;;;   13 180;;  9 485 805;;  9 498 986;
Ringerike omsorgssenter;;;;;   10 425;;   10 425;
Røvika Ungdomssenter;;   706 779;;;;;   706 779;
Sandnes Ungdomssenter;;;;   303 416;;;   303 416;
Seljelia barne- og  familiesenter;;;;;-   18 647;;-   18 647;
Senter for foreldre og barn Molde;   74 096;;;;;;   74 096;
Silsand ungdomssenter;;   8 436;;;;;   8 436;
Skjerven rusbehandling ungdom;;;   310 388;;;;   310 388;
Skjoldvegen barnevernsenter;;;;   412 170;;;   412 170;
Sogn og Fjordane ungdomsenter;;;;   128 737;;;   128 737;
Sogn og fjordane Ungdomssenter behandling høy;;;;   129 682;;;   129 682;
Sogndal Ungdomssenter;;;;   161 720;;;   161 720;
Solbakken Barne- og familiesenter;;   186 839;;;;;   186 839;
Sollia barne- og ungdomssenter;;   132 115;;;;;   132 115;
Spesialiserte fosterhjem;;;   109 648;;;;   109 648;
Spillumheimen undomsheim;   147 523;;;;;;   147 523;
St. Hansgården ungdomssenter akutt;;;   234 384;;;;   234 384;
Stab;;   308 987;;;;;   308 987;
Stavanger Akuttsenter Ungdom;;;;   509 063;;;   509 063;
Stavanger ungdomssenter;;;;   461 418;;;   461 418;
Stokke Barnesenter;;;   164 361;;;;   164 361;
Sundstedtråkka ungdomssenter akutt;;;   360 372;;;;   360 372;
Sunnmørsheimen akuttsenter;   70 216;;;;;;   70 216;
Sunnmørsheimen ungdomsheim;   71 059;;;;;;   71 059;
Teknisk;;;    ;;;;    ;
Telemark barne- og familiesenter;;;   348 986;;;;   348 986;
Telemark og Vestfold ungdomshjem;;;   404 284;;;;   404 284;
Thorøya ungdomshjem;;;   197 419;;;;   197 419;
Tromsø Familievernkontor;;   37 624;;;;;   37 624;
Tromsø ungdomssenter;;   354 182;;;;;   354 182;
Trøndelag behandlingssenter for ungdom;   361 421;;;;;;   361 421;
Vesterålen Familievernkontor;;   48 661;;;;;   48 661;
Vestfold ungdomssenter;;;   4 078;;;;   4 078;
Vikhovlia akuttsenter;   200 298;;;;;;   200 298;
Viktoria Familiesenter;   189 180;;;;;;   189 180;
Yttrabekken Ungdomshjem;;   186 768;;;;;   186 768;
Renhold lokaler;;;;;;;;
;;;;;;   782 167;   782 167;
Agder barne- og familiesenter;;;   180 394;;;;   180 394;
Agder ungdomshjem;;;   323 740;;;;   323 740;
Agder ungdomssenter;;;   42 177;;;;   42 177;
Akershus ungdoms- og familiesenter;;;;;   33 164;;   33 164;
Akershus ungdoms- og familiesenter - akutt;;;;;   1 188;;   1 188;
Alta / Hammerfest FV;;   59 180;;;;;   59 180;
Alta Ungdomssenter;;   334 704;;;;;   334 704;
Avdelingsdirektør inntak og fosterhjemsrekruttering;;   63 421;;;;;   63 421;
Avdelingsdirektør omsorg for ungdom og behandling av ungdom;;   2 644;;;;;   2 644;
Barkåker ungdomssenter;;;   85 188;;;;   85 188;
Bergen Akuttsenter Ungdom;;;;   322 648;;;   322 648;
Bjørgvin Ungdomssenter;;;;   55 567;;;   55 567;
Bodø behandlingssenter;;   168 714;;;;;   168 714;
Bodø Familievernkontor;;   108 110;;;;;   108 110;
Borg barne- og  familiesenter;;;;;   306 618;;   306 618;
Bufetats behandlingssenter Akershus_Østfold;;;;;   614 981;;   614 981;
Buskerud barne- og familiesenter;;;   247 168;;;;   247 168;
Clausenengen ungdomshjem;   58 851;;;;;;   58 851;
Eikelund Ungdomssenter;;;;   17 681;;;   17 681;
