;;;;;;;;
Periodekalender;2025;;;;;;;
Kapittel Beskrivelse;All;;;;;;;
Kontonummer;(Flere elementer);;;;;;;
Konto Beskrivelse;Strøm og oppvarming;;;;;;;
;;;;;;;;
Radetiketter;Kontantbeløp;;;;;;;
Leie av lokaler og tilknyttede utgifter;;;;;;;;
Bufetat;;;;;;;;
Region Midt-Norge;;;;;;;;
Kvammen akuttinstitusjon;   397 544;;;;;;;
Trøndelag behandlingssenter for ungdom;   361 421;;;;;;;
Vikhovlia akuttsenter;   200 298;;;;;;;
Ranheim Vestre;   190 482;;;;;;;
Viktoria Familiesenter;   189 180;;;;;;;
Kollen ungdomsbase;   176 475;;;;;;;
Spillumheimen undomsheim;   147 523;;;;;;;
Karienborg ungdomsheim;   140 897;;;;;;;
Gilantunet ungdomshjem;   137 139;;;;;;;
Husafjellheimen ungdomsheim;   121 049;;;;;;;
Humla Akuttsenter;   110 333;;;;;;;
Clausenengen ungdomshjem;   97 933;;;;;;;
Familievernkontoret Kristiansund;   94 728;;;;;;;
Familievernkontoret Namsos;   74 270;;;;;;;
Senter for foreldre og barn Molde;   74 096;;;;;;;
Fosterhjemstjenesten, Bufetat region midt;   71 115;;;;;;;
Sunnmørsheimen ungdomsheim;   71 059;;;;;;;
Sunnmørsheimen akuttsenter;   70 216;;;;;;;
Familievernkontoret Ålesund;   50 512;;;;;;;
Enhet for inntak, Bufetat region midt;   27 119;;;;;;;
Familievernkontoret Molde;   15 084;;;;;;;
MST Sunnmøre;   8 355;;;;;;;
Region Nord;;;;;;;;
Røvika Ungdomssenter;   706 779;;;;;;;
Tromsø ungdomssenter;   354 182;;;;;;;
FHT region nord;   314 777;;;;;;;
Stab;   308 987;;;;;;;
Nye Kvæfjord ungdomssenter;   301 468;;;;;;;
Bodø behandlingssenter;   191 850;;;;;;;
Solbakken Barne- og familiesenter;   186 839;;;;;;;
Yttrabekken Ungdomshjem;   186 768;;;;;;;
Nye Lamo ungdomssenter;   184 595;;;;;;;
Enhet for inntak, Bufetat region nord;   171 135;;;;;;;
Sollia barne- og ungdomssenter;   132 115;;;;;;;
Alta Ungdomssenter;   115 280;;;;;;;
Enhet for spesialiserte fosterhjem;   108 148;;;;;;;
Alta / Hammerfest FV;   65 398;;;;;;;
MST Mo i Rana;   65 250;;;;;;;
Bodø Familievernkontor;   62 234;;;;;;;
Finnsnes Familievernkontor;   57 057;;;;;;;
Vesterålen Familievernkontor;   48 661;;;;;;;
Tromsø Familievernkontor;   37 624;;;;;;;
Harstad / Narvik FV;   24 271;;;;;;;
MST Bodø;   19 368;;;;;;;
Avdelingsdirektør inntak og fosterhjemsrekruttering;   18 960;;;;;;;
MST Tromsø;   12 726;;;;;;;
Silsand ungdomssenter;   8 436;;;;;;;
Nasjonalt samisk kompetansesenter;   5 090;;;;;;;
Region Sør;;;;;;;;
Buskerud barne- og familiesenter;   459 732;;;;;;;
Agder ungdomshjem;   449 578;;;;;;;
Telemark og Vestfold ungdomshjem;   404 284;;;;;;;
Fosterhjemstjenesten, Bufetat region sør;   377 658;;;;;;;
Barkåker ungdomssenter;   376 978;;;;;;;
Agder ungdomssenter;   374 219;;;;;;;
Sundstedtråkka ungdomssenter akutt;   360 372;;;;;;;
Familievernkontorene Drammen-Kongsberg;   359 500;;;;;;;
Telemark barne- og familiesenter;   348 986;;;;;;;
Skjerven rusbehandling ungdom;   310 388;;;;;;;
Lunde behandlingssenter;   246 221;;;;;;;
St. Hansgården ungdomssenter akutt;   234 384;;;;;;;
Klokkerhuset ungdomssenter akutt;   208 255;;;;;;;
Thorøya ungdomshjem;   197 419;;;;;;;
Lågen ungdomshjem;   189 914;;;;;;;
MST region sør;   186 481;;;;;;;
Enhet for inntak, Bufetat region sør;   183 402;;;;;;;
Agder barne- og familiesenter;   178 848;;;;;;;
Grøterød ungdomshjem;   171 449;;;;;;;
Stokke Barnesenter;   164 361;;;;;;;
Katfoss behandling ungdom;   156 292;;;;;;;
Spesialiserte fosterhjem;   109 648;;;;;;;
Justøya behandling ungdom;   14 933;;;;;;;
Regionkontor;   13 180;;;;;;;
Vestfold ungdomssenter;   4 078;;;;;;;
Teknisk;    ;;;;;;;
Region Vest;;;;;;;;
Kontorfaglig enhet;  1 284 486;;;;;;;
Stavanger Akuttsenter Ungdom;   509 063;;;;;;;
Stavanger ungdomssenter;   461 418;;;;;;;
Familievernkontoret for Bergen og omland;   449 201;;;;;;;
Bergen Akuttsenter Ungdom;   425 266;;;;;;;
Skjoldvegen barnevernsenter;   412 170;;;;;;;
Kasa Ungdomssenter;   411 872;;;;;;;
Bjørgvin Ungdomssenter;   352 766;;;;;;;
Sandnes Ungdomssenter;   303 416;;;;;;;
Region vest senter for foreldre og barn;   262 459;;;;;;;
Sogndal Ungdomssenter;   161 720;;;;;;;
Sogn og fjordane Ungdomssenter behandling høy;   129 682;;;;;;;
Sogn og Fjordane ungdomsenter;   128 737;;;;;;;
Familiekontora for Sunnfjord og Sogn;   124 280;;;;;;;
Regionale utgifter (regionkontor,fellestjenester);   66 418;;;;;;;
Region Øst;;;;;;;;
Regionkontor;  9 485 805;;;;;;;
Hedmark ungdoms- og familiesenter - akutt;   113 702;;;;;;;
Ringerike omsorgssenter;   10 425;;;;;;;
Akershus ungdoms- og familiesenter;   10 039;;;;;;;
Gullhella barne- og  familiesenter;   7 790;;;;;;;
Enhet for spesialiserte fosterhjem - region Øst;    38;;;;;;;
Seljelia barne- og  familiesenter;-   18 647;;;;;;;
Bufdir;;;;;;;;
;   700 368;;;;;;;
Totalsum;  28 387 858;;;;;;;
